Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5306180,WA-34111,Olympia School District,Thurston County,111 BETHEL ST. NE,OLYMPIA,WASHINGTON,98506,    ,(360)596-6100,10057,554.89,21,13,13-City: Small,18.12,1-Regular local school district that is NOT a component of a supervisory union
5300007,WA-18801,Olympic Educational Service District 114,Kitsap County,105 NATIONAL AVE N,BREMERTON,WASHINGTON,98312,3537,(360)479-0993,0,1.8,2,33,33-Town: Remote,0,8-Other education agencies
5306390,WA-09013,Orondo School District,Douglas County,100 ORONDO SCHOOL RD,ORONDO,WASHINGTON,98843,9723,(509)784-2443,204,11.12,1,42,42-Rural: Distant,18.35,1-Regular local school district that is NOT a component of a supervisory union
5306450,WA-27344,Orting School District,Pierce County,121 Whitesell St NE,ORTING,WASHINGTON,98360,8403,(360)893-6500,2772,136.99,5,21,21-Suburb: Large,20.24,1-Regular local school district that is NOT a component of a supervisory union
5306510,WA-09102,Palisades School District,Douglas County,1114 PALISADES RD,PALISADES,WASHINGTON,98845,9609,(509)884-8071,31,3,1,42,42-Rural: Distant,10.33,1-Regular local school district that is NOT a component of a supervisory union
5306600,WA-24122,Pateros School District,Okanogan County,344 W BEACH ST,PATEROS,WASHINGTON,98846,0098,(509)923-2343,318,21.96,2,43,43-Rural: Remote,14.48,1-Regular local school district that is NOT a component of a supervisory union
5306690,WA-27401,Peninsula School District,Pierce County,14015 62ND AVE NW,GIG HARBOR,WASHINGTON,98332,8698,(253)530-1002,9545,520.16,15,21,21-Suburb: Large,18.35,1-Regular local school district that is NOT a component of a supervisory union
5306750,WA-23402,Pioneer School District,Mason County,112 E. Spencer Lake Road,SHELTON,WASHINGTON,98584,    ,(360)426-9115,797,53.57,2,41,41-Rural: Fringe,14.88,1-Regular local school district that is NOT a component of a supervisory union
5306820,WA-05121,Port Angeles School District,Clallam County,905 W 9TH ST,PORT ANGELES,WASHINGTON,98363,7275,(360)457-8575,3762,217.07,9,33,33-Town: Remote,17.33,1-Regular local school district that is NOT a component of a supervisory union
5306840,WA-16050,Port Townsend School District,Jefferson County,1610 Blaine St.,Port Townsend,WASHINGTON,98368,    ,(360)379-4501,1237,75.3,4,32,32-Town: Distant,16.43,1-Regular local school district that is NOT a component of a supervisory union
5300006,WA-17801,Puget Sound Educational Service District 121,King County,800 Oakesdale Ave SW,Renton,WASHINGTON,98057,    ,(425)917-7600,0,0,0,12,12-City: Mid-size,-1,4-Regional Education Service Agency (RESA)
5306960,WA-27003,Puyallup School District,Pierce County,302 2ND ST SE,PUYALLUP,WASHINGTON,98372,3220,(253)841-1301,23563,1176.52,37,21,21-Suburb: Large,20.03,1-Regular local school district that is NOT a component of a supervisory union
